NGVS_catalog_id,band,time,exposure,frame,image_index,zeropoint,mag,err_sys,time_mjd
760094,z,2012-02-2411:53,550.13,1528994,20,31.75,19.0374324,0.004898335,55981.49514
760094,z,2012-02-2412:54,550.159,1529000,21,31.76,19.09578157,0.005152966,55981.5375
760094,z,2012-03-159:38,550.101,1533449,22,31.785,19.23836769,0.004977798,56001.40139
760094,z,2012-03-1612:36,550.149,1533590,23,31.803,19.18956962,0.006260008,56002.525
760094,z,2012-03-1613:38,550.145,1533596,24,31.803,19.21381161,0.006926546,56002.56806
760094,z,2012-03-1710:17,550.137,1533675,25,31.8,18.95801271,0.005404761,56003.42847
760094,i,2012-03-2011:32,411.144,1534071,26,32.445,19.08316601,0.003073786,56006.48056
760094,i,2012-03-2012:27,411.147,1534078,27,32.452,19.09746138,0.003481537,56006.51875
760094,i,2012-03-2013:14,411.106,1534084,28,32.448,19.13118258,0.003425576,56006.55139
760094,i,2012-03-298:43,411.154,1534765,29,32.425,18.4778574,0.002173167,56015.36319
760094,i,2012-03-299:30,411.145,1534771,30,32.433,18.59850322,0.002423434,56015.39583
760094,i,2012-03-2910:17,411.121,1534777,31,32.427,18.66534108,0.002500202,56015.42847
760094,i,2012-03-2911:08,411.134,1534783,32,32.44,18.76378572,0.002634457,56015.46389
198306,i,2010-01-1112:51,411.092,1159422,0,32.425,18.32404065,0.002063848,55207.53542
198306,i,2010-01-1114:50,411.115,1159437,2,32.418,18.3786275,0.00202245,55207.61806
198306,i,2010-01-1114:58,411.102,1159438,3,32.409,18.34286011,0.002048231,55207.62361
198306,i,2010-02-0612:20,411.115,1165585,5,32.415,18.3604042,0.002382591,55233.51389
198306,i,2010-02-0913:54,411.103,1166047,6,32.409,18.41395213,0.002140078,55236.57917
198306,i,2010-02-0914:02,411.111,1166048,7,32.396,18.37315341,0.002053453,55236.58472
198306,g,2010-03-1310:14,634.133,1172655,8,33.513,18.37643134,0.001235748,55268.42639
198306,g,2010-03-1312:56,634.148,1172669,10,33.518,18.69156087,0.001472571,55268.53889
198306,g,2010-03-1313:08,634.136,1172670,11,33.503,18.68943618,0.001486485,55268.54722
198306,g,2010-03-1511:21,634.147,1172829,12,33.518,18.9237413,0.001620829,55270.47292
198306,z,2011-04-027:16,550.107,1294579,20,31.687,18.71515495,0.004807203,55653.30278
198306,z,2011-04-027:26,550.099,1294580,21,31.633,18.67535208,0.004616471,55653.30972
198306,z,2011-04-0213:06,550.077,1294612,22,31.7,18.42946575,0.005690414,55653.54583
198306,z,2011-04-037:11,550.095,1294727,23,31.688,18.53756656,0.004172121,55654.29931
198306,z,2011-04-037:21,550.084,1294728,24,31.667,18.50857781,0.004299733,55654.30625
198306,z,2011-04-0311:02,550.129,1294749,26,31.721,18.62830048,0.005511817,55654.45972
198306,z,2011-04-047:44,550.126,1294851,27,31.626,18.35117324,0.003861802,55655.32222
198306,z,2011-04-058:54,550.12,1294953,28,31.657,18.66151894,0.004552527,55656.37083
198306,z,2011-04-2611:16,550.084,1300389,29,31.646,18.65172444,0.005936523,55677.46944
198306,z,2011-04-2611:26,550.089,1300390,30,31.63,18.55350404,0.005382809,55677.47639
198306,z,2011-04-2911:55,550.094,1300688,31,31.663,18.52977021,0.004662928,55680.49653
198306,z,2011-04-2912:05,550.089,1300689,32,31.665,18.43306842,0.0046379,55680.50347
198306,z,2011-05-279:30,550.133,1306298,33,31.67,18.42282485,0.005405395,55708.39583
198306,z,2011-05-279:40,550.115,1306299,34,31.643,18.40284726,0.005670454,55708.40278
